Price,Adj Close,Close,High,Low,Open,Volume,company_name,ticker,MA for 10 days,MA for 20 days,MA for 50 days
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,,,,,
Date,,,,,,,,,,,
2023-08-28,8639.8115234375,9200.0,9250.0,9200.0,9250.0,44423100,PT Bank Central Asia Tbk,BBCA.JK,,,
2023-08-29,8686.7666015625,9250.0,9300.0,9200.0,9275.0,45428500,PT Bank Central Asia Tbk,BBCA.JK,,,
2023-08-30,8639.8115234375,9200.0,9300.0,9200.0,9300.0,56227000,PT Bank Central Asia Tbk,BBCA.JK,,,
2023-08-31,8616.3330078125,9175.0,9225.0,9100.0,9200.0,136107200,PT Bank Central Asia Tbk,BBCA.JK,,,
2023-09-01,8663.2890625,9225.0,9275.0,9175.0,9200.0,42152700,PT Bank Central Asia Tbk,BBCA.JK,,,
2023-09-04,8663.2890625,9225.0,9275.0,9175.0,9225.0,40610600,PT Bank Central Asia Tbk,BBCA.JK,,,
2023-09-05,8663.2890625,9225.0,9250.0,9200.0,9250.0,42007200,PT Bank Central Asia Tbk,BBCA.JK,,,
2023-09-06,8592.85546875,9150.0,9250.0,9150.0,9200.0,49318400,PT Bank Central Asia Tbk,BBCA.JK,,,
2023-09-07,8616.3330078125,9175.0,9175.0,9100.0,9125.0,61405200,PT Bank Central Asia Tbk,BBCA.JK,,,
2023-09-08,8569.37890625,9125.0,9150.0,9050.0,9100.0,80732300,PT Bank Central Asia Tbk,BBCA.JK,8635.11572265625,,
2023-09-11,8569.37890625,9125.0,9125.0,9075.0,9075.0,53155900,PT Bank Central Asia Tbk,BBCA.JK,8628.0724609375,,
2023-09-12,8545.9013671875,9100.0,9125.0,9075.0,9100.0,66479000,PT Bank Central Asia Tbk,BBCA.JK,8613.9859375,,
2023-09-13,8522.4228515625,9075.0,9075.0,9000.0,9050.0,69490200,PT Bank Central Asia Tbk,BBCA.JK,8602.2470703125,,
2023-09-14,8545.9013671875,9100.0,9125.0,9000.0,9000.0,112757900,PT Bank Central Asia Tbk,BBCA.JK,8595.20390625,,
2023-09-15,8451.990234375,9000.0,9100.0,9000.0,9050.0,121005300,PT Bank Central Asia Tbk,BBCA.JK,8574.0740234375,,
2023-09-18,8451.990234375,9000.0,9075.0,9000.0,9050.0,34272200,PT Bank Central Asia Tbk,BBCA.JK,8552.944140625,,
2023-09-19,8522.4228515625,9075.0,9075.0,8975.0,9000.0,33325800,PT Bank Central Asia Tbk,BBCA.JK,8538.85751953125,,
2023-09-20,8592.85546875,9150.0,9175.0,9075.0,9125.0,54305500,PT Bank Central Asia Tbk,BBCA.JK,8538.85751953125,,
2023-09-21,8569.37890625,9125.0,9150.0,9075.0,9125.0,40607000,PT Bank Central Asia Tbk,BBCA.JK,8534.162109375,,
2023-09-22,8522.4228515625,9075.0,9150.0,9075.0,9125.0,42445300,PT Bank Central Asia Tbk,BBCA.JK,8529.46650390625,8582.29111328125,
2023-09-25,8451.990234375,9000.0,9075.0,9000.0,9075.0,56132200,PT Bank Central Asia Tbk,BBCA.JK,8517.72763671875,8572.900048828125,
2023-09-26,8405.0341796875,8950.0,9025.0,8950.0,9000.0,73544700,PT Bank Central Asia Tbk,BBCA.JK,8503.64091796875,8558.813427734374,
2023-09-27,8334.6005859375,8875.0,9000.0,8875.0,8900.0,84345000,PT Bank Central Asia Tbk,BBCA.JK,8484.85869140625,8543.552880859375,
2023-09-29,8287.6455078125,8825.0,8900.0,8825.0,8825.0,118960000,PT Bank Central Asia Tbk,BBCA.JK,8459.03310546875,8527.118505859375,
2023-10-02,8522.4228515625,9075.0,9100.0,8875.0,8900.0,93663000,PT Bank Central Asia Tbk,BBCA.JK,8466.0763671875,8520.0751953125,
2023-10-03,8639.8115234375,9200.0,9200.0,9025.0,9075.0,98380200,PT Bank Central Asia Tbk,BBCA.JK,8484.85849609375,8518.901318359374,
2023-10-04,8639.8115234375,9200.0,9250.0,9125.0,9200.0,112582800,PT Bank Central Asia Tbk,BBCA.JK,8496.59736328125,8517.72744140625,
2023-10-05,8522.4228515625,9075.0,9200.0,9075.0,9200.0,72855700,PT Bank Central Asia Tbk,BBCA.JK,8489.5541015625,8514.205810546875,
2023-10-06,8475.4677734375,9025.0,9100.0,9025.0,9100.0,53344400,PT Bank Central Asia Tbk,BBCA.JK,8480.16298828125,8507.162548828124,
2023-10-09,8498.9453125,9050.0,9125.0,9025.0,9025.0,43774500,PT Bank Central Asia Tbk,BBCA.JK,8477.815234375,8503.640869140625,
2023-10-10,8381.556640625,8925.0,9000.0,8925.0,9000.0,71966100,PT Bank Central Asia Tbk,BBCA.JK,8470.771875,8494.249755859375,
2023-10-11,8381.556640625,8925.0,9025.0,8925.0,8925.0,84305800,PT Bank Central Asia Tbk,BBCA.JK,8468.42412109375,8486.03251953125,
2023-10-12,8498.9453125,9050.0,9100.0,9000.0,9000.0,71064500,PT Bank Central Asia Tbk,BBCA.JK,8484.85859375,8484.858642578125,
2023-10-13,8522.4228515625,9075.0,9125.0,9025.0,9100.0,62941800,PT Bank Central Asia Tbk,BBCA.JK,8508.336328125,8483.684716796875,
2023-10-16,8545.9013671875,9100.0,9125.0,9050.0,9125.0,29429200,PT Bank Central Asia Tbk,BBCA.JK,8510.6841796875,8488.3802734375,
2023-10-17,8405.0341796875,8950.0,9075.0,8950.0,9050.0,59606000,PT Bank Central Asia Tbk,BBCA.JK,8487.2064453125,8486.032470703125,
2023-10-18,8311.123046875,8850.0,8950.0,8850.0,8925.0,50919200,PT Bank Central Asia Tbk,BBCA.JK,8454.33759765625,8475.46748046875,
2023-10-19,8217.2119140625,8750.0,8850.0,8750.0,8825.0,89509700,PT Bank Central Asia Tbk,BBCA.JK,8423.81650390625,8456.685302734375,
2023-10-20,8428.51171875,8975.0,9025.0,8725.0,8725.0,64554500,PT Bank Central Asia Tbk,BBCA.JK,8419.1208984375,8449.641943359375,
2023-10-23,8311.123046875,8850.0,8925.0,8850.0,8875.0,50633500,PT Bank Central Asia Tbk,BBCA.JK,8400.338671875,8439.076953125,
2023-10-24,8240.689453125,8775.0,8875.0,8775.0,8775.0,76963200,PT Bank Central Asia Tbk,BBCA.JK,8386.251953125,8428.5119140625,
2023-10-25,8334.6005859375,8875.0,8925.0,8825.0,8825.0,54748400,PT Bank Central Asia Tbk,BBCA.JK,8381.55634765625,8424.990234375,
2023-10-26,8193.734375,8725.0,8950.0,8725.0,8925.0,63199400,PT Bank Central Asia Tbk,BBCA.JK,8351.03525390625,8417.946923828125,
2023-10-27,8170.25634765625,8700.0,8800.0,8700.0,8725.0,52450700,PT Bank Central Asia Tbk,BBCA.JK,8315.818603515625,8412.077465820312,
2023-10-30,8311.123046875,8850.0,8850.0,8700.0,8700.0,51958200,PT Bank Central Asia Tbk,BBCA.JK,8292.340771484374,8401.512475585938,
2023-10-31,8217.2119140625,8750.0,8825.0,8725.0,8800.0,64907600,PT Bank Central Asia Tbk,BBCA.JK,8273.558544921874,8380.382495117188,
2023-11-01,8076.345703125,8600.0,8775.0,8600.0,8750.0,67027600,PT Bank Central Asia Tbk,BBCA.JK,8250.080810546875,8352.209204101562,
2023-11-02,8311.123046875,8850.0,8900.0,8725.0,8725.0,56050900,PT Bank Central Asia Tbk,BBCA.JK,8259.471923828125,8341.644213867188,
2023-11-03,8358.078125,8900.0,8950.0,8850.0,8925.0,60414100,PT Bank Central Asia Tbk,BBCA.JK,8252.428564453125,8335.774731445312,
2023-11-06,8498.9453125,9050.0,9050.0,8950.0,8975.0,84994200,PT Bank Central Asia Tbk,BBCA.JK,8271.210791015625,8335.774731445312,8462.789384765625
2023-11-07,8428.51171875,8975.0,9025.0,8900.0,9000.0,60648200,PT Bank Central Asia Tbk,BBCA.JK,8289.993017578125,8338.122485351563,8458.563388671875
2023-11-08,8451.990234375,9000.0,9000.0,8900.0,8950.0,31829300,PT Bank Central Asia Tbk,BBCA.JK,8301.731982421876,8341.644165039062,8453.867861328124
2023-11-09,8451.990234375,9000.0,9050.0,8900.0,8900.0,46076800,PT Bank Central Asia Tbk,BBCA.JK,8327.557568359374,8339.296411132813,8450.111435546874
2023-11-10,8287.6455078125,8825.0,9000.0,8825.0,8950.0,50754600,PT Bank Central Asia Tbk,BBCA.JK,8339.296484375,8327.557543945313,8443.537685546875
2023-11-13,8334.6005859375,8875.0,8925.0,8850.0,8875.0,20827700,PT Bank Central Asia Tbk,BBCA.JK,8341.64423828125,8316.992504882812,8436.963916015626
2023-11-14,8381.556640625,8925.0,8950.0,8875.0,8900.0,37195700,PT Bank Central Asia Tbk,BBCA.JK,8358.0787109375,8315.818627929688,8431.329267578125
2023-11-15,8498.9453125,9050.0,9050.0,8950.0,8975.0,84977900,PT Bank Central Asia Tbk,BBCA.JK,8400.338671875,8325.209741210938,8428.042392578125
2023-11-16,8522.4228515625,9075.0,9075.0,8950.0,9050.0,48714300,PT Bank Central Asia Tbk,BBCA.JK,8421.46865234375,8340.470288085937,8426.633740234374
2023-11-17,8522.4228515625,9075.0,9075.0,8975.0,9025.0,57050500,PT Bank Central Asia Tbk,BBCA.JK,8437.903125,8345.165844726562,8424.755537109375
2023-11-20,8334.6005859375,8875.0,9025.0,8875.0,8975.0,49216000,PT Bank Central Asia Tbk,BBCA.JK,8421.46865234375,8346.339721679688,8420.059970703125
