Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,,
2023-08-28,8639.8115234375,9200.0,9250.0,9200.0,9250.0,44423100
2023-08-29,8686.7666015625,9250.0,9300.0,9200.0,9275.0,45428500
2023-08-30,8639.8115234375,9200.0,9300.0,9200.0,9300.0,56227000
2023-08-31,8616.3330078125,9175.0,9225.0,9100.0,9200.0,136107200
2023-09-01,8663.2890625,9225.0,9275.0,9175.0,9200.0,42152700
2023-09-04,8663.2890625,9225.0,9275.0,9175.0,9225.0,40610600
2023-09-05,8663.2890625,9225.0,9250.0,9200.0,9250.0,42007200
2023-09-06,8592.8564453125,9150.0,9250.0,9150.0,9200.0,49318400
2023-09-07,8616.3330078125,9175.0,9175.0,9100.0,9125.0,61405200
2023-09-08,8569.37890625,9125.0,9150.0,9050.0,9100.0,80732300
2023-09-11,8569.37890625,9125.0,9125.0,9075.0,9075.0,53155900
2023-09-12,8545.9013671875,9100.0,9125.0,9075.0,9100.0,66479000
2023-09-13,8522.4228515625,9075.0,9075.0,9000.0,9050.0,69490200
2023-09-14,8545.9013671875,9100.0,9125.0,9000.0,9000.0,112757900
2023-09-15,8451.990234375,9000.0,9100.0,9000.0,9050.0,121005300
2023-09-18,8451.990234375,9000.0,9075.0,9000.0,9050.0,34272200
2023-09-19,8522.4228515625,9075.0,9075.0,8975.0,9000.0,33325800
2023-09-20,8592.8564453125,9150.0,9175.0,9075.0,9125.0,54305500
2023-09-21,8569.37890625,9125.0,9150.0,9075.0,9125.0,40607000
2023-09-22,8522.4228515625,9075.0,9150.0,9075.0,9125.0,42445300
2023-09-25,8451.990234375,9000.0,9075.0,9000.0,9075.0,56132200
2023-09-26,8405.033203125,8950.0,9025.0,8950.0,9000.0,73544700
2023-09-27,8334.6005859375,8875.0,9000.0,8875.0,8900.0,84345000
2023-09-29,8287.6455078125,8825.0,8900.0,8825.0,8825.0,118960000
2023-10-02,8522.4228515625,9075.0,9100.0,8875.0,8900.0,93663000
2023-10-03,8639.8115234375,9200.0,9200.0,9025.0,9075.0,98380200
2023-10-04,8639.8115234375,9200.0,9250.0,9125.0,9200.0,112582800
2023-10-05,8522.4228515625,9075.0,9200.0,9075.0,9200.0,72855700
2023-10-06,8475.4677734375,9025.0,9100.0,9025.0,9100.0,53344400
2023-10-09,8498.9453125,9050.0,9125.0,9025.0,9025.0,43774500
2023-10-10,8381.556640625,8925.0,9000.0,8925.0,9000.0,71966100
2023-10-11,8381.556640625,8925.0,9025.0,8925.0,8925.0,84305800
2023-10-12,8498.9453125,9050.0,9100.0,9000.0,9000.0,71064500
2023-10-13,8522.4228515625,9075.0,9125.0,9025.0,9100.0,62941800
2023-10-16,8545.9013671875,9100.0,9125.0,9050.0,9125.0,29429200
2023-10-17,8405.033203125,8950.0,9075.0,8950.0,9050.0,59606000
2023-10-18,8311.123046875,8850.0,8950.0,8850.0,8925.0,50919200
2023-10-19,8217.212890625,8750.0,8850.0,8750.0,8825.0,89509700
2023-10-20,8428.51171875,8975.0,9025.0,8725.0,8725.0,64554500
2023-10-23,8311.123046875,8850.0,8925.0,8850.0,8875.0,50633500
2023-10-24,8240.689453125,8775.0,8875.0,8775.0,8775.0,76963200
2023-10-25,8334.6005859375,8875.0,8925.0,8825.0,8825.0,54748400
2023-10-26,8193.7353515625,8725.0,8950.0,8725.0,8925.0,63199400
2023-10-27,8170.25634765625,8700.0,8800.0,8700.0,8725.0,52450700
2023-10-30,8311.123046875,8850.0,8850.0,8700.0,8700.0,51958200
2023-10-31,8217.212890625,8750.0,8825.0,8725.0,8800.0,64907600
2023-11-01,8076.345703125,8600.0,8775.0,8600.0,8750.0,67027600
2023-11-02,8311.123046875,8850.0,8900.0,8725.0,8725.0,56050900
2023-11-03,8358.078125,8900.0,8950.0,8850.0,8925.0,60414100
2023-11-06,8498.9453125,9050.0,9050.0,8950.0,8975.0,84994200
2023-11-07,8428.51171875,8975.0,9025.0,8900.0,9000.0,60648200
2023-11-08,8451.990234375,9000.0,9000.0,8900.0,8950.0,31829300
2023-11-09,8451.990234375,9000.0,9050.0,8900.0,8900.0,46076800
2023-11-10,8287.6455078125,8825.0,9000.0,8825.0,8950.0,50754600
2023-11-13,8334.6005859375,8875.0,8925.0,8850.0,8875.0,20827700
2023-11-14,8381.556640625,8925.0,8950.0,8875.0,8900.0,37195700
2023-11-15,8498.9453125,9050.0,9050.0,8950.0,8975.0,84977900
2023-11-16,8522.4228515625,9075.0,9075.0,8950.0,9050.0,48714300
2023-11-17,8522.4228515625,9075.0,9075.0,8975.0,9025.0,57050500
2023-11-20,8334.6005859375,8875.0,9025.0,8875.0,8975.0,49216000
2023-11-21,8240.689453125,8775.0,8900.0,8775.0,8825.0,107614800
2023-11-22,8334.6005859375,8875.0,8875.0,8775.0,8775.0,40364800
2023-11-23,8381.556640625,8925.0,8975.0,8850.0,8850.0,55542100
2023-11-24,8381.556640625,8925.0,8975.0,8900.0,8925.0,43631900
2023-11-27,8334.6005859375,8875.0,8950.0,8875.0,8900.0,35679000
2023-11-28,8334.6005859375,8875.0,8950.0,8850.0,8875.0,69070600
2023-11-29,8358.078125,8900.0,8950.0,8900.0,8900.0,54715600
2023-11-30,8428.51171875,8975.0,8975.0,8900.0,8925.0,205312100
2023-12-01,8405.033203125,8950.0,8975.0,8900.0,8925.0,80566400
2023-12-04,8421.546875,8925.0,9025.0,8925.0,8950.0,54747400
2023-12-05,8397.9560546875,8900.0,8950.0,8825.0,8950.0,94363900
2023-12-06,8303.59765625,8800.0,8950.0,8800.0,8850.0,81852800
2023-12-07,8327.1875,8825.0,8825.0,8725.0,8750.0,91322500
2023-12-08,8256.41796875,8750.0,8850.0,8750.0,8800.0,43891600
2023-12-11,8256.41796875,8750.0,8775.0,8675.0,8675.0,78642800
2023-12-12,8209.23828125,8700.0,8750.0,8700.0,8700.0,87589300
2023-12-13,8185.6494140625,8675.0,8750.0,8675.0,8700.0,51560500
2023-12-14,8539.4951171875,9050.0,9050.0,8750.0,8775.0,115332800
2023-12-15,8704.6240234375,9225.0,9225.0,9075.0,9125.0,275013500
2023-12-18,8681.03515625,9200.0,9225.0,9150.0,9200.0,111712200
2023-12-19,8728.2138671875,9250.0,9250.0,9125.0,9125.0,65174500
2023-12-20,8775.3935546875,9300.0,9300.0,9225.0,9250.0,72938100
2023-12-21,8798.982421875,9325.0,9325.0,9250.0,9300.0,88116700
2023-12-22,8798.982421875,9325.0,9350.0,9275.0,9275.0,64449600
2023-12-27,8846.162109375,9375.0,9400.0,9325.0,9375.0,64464700
2023-12-28,8869.7529296875,9400.0,9425.0,9325.0,9325.0,70184600
2023-12-29,8869.7529296875,9400.0,9450.0,9350.0,9425.0,79903400
2024-01-02,8893.341796875,9425.0,9425.0,9350.0,9400.0,30545200
2024-01-03,8822.5732421875,9350.0,9425.0,9325.0,9425.0,34603300
2024-01-04,8940.521484375,9475.0,9475.0,9375.0,9400.0,56501800
2024-01-05,9034.880859375,9575.0,9600.0,9475.0,9500.0,85290100
2024-01-08,9034.880859375,9575.0,9625.0,9475.0,9600.0,50896000
2024-01-09,9082.060546875,9625.0,9625.0,9575.0,9600.0,59848600
2024-01-10,9011.291015625,9550.0,9650.0,9550.0,9650.0,52774900
2024-01-11,9034.880859375,9575.0,9650.0,9575.0,9625.0,39381500
2024-01-12,9152.8291015625,9700.0,9700.0,9600.0,9650.0,68253400
2024-01-15,9176.4189453125,9725.0,9750.0,9650.0,9750.0,88399500
2024-01-16,9152.8291015625,9700.0,9750.0,9675.0,9700.0,44869200
2024-01-17,9200.0087890625,9750.0,9750.0,9650.0,9750.0,107706100
2024-01-18,9129.240234375,9675.0,9750.0,9625.0,9675.0,71048900
2024-01-19,9082.060546875,9625.0,9775.0,9600.0,9775.0,63176500
2024-01-22,9082.060546875,9625.0,9650.0,9525.0,9600.0,52868300
2024-01-23,9058.4697265625,9600.0,9600.0,9450.0,9450.0,92348600
2024-01-24,8987.701171875,9525.0,9600.0,9475.0,9600.0,84906000
2024-01-25,8964.111328125,9500.0,9575.0,9450.0,9450.0,63212700
2024-01-26,8822.5732421875,9350.0,9450.0,9300.0,9400.0,78977300
2024-01-29,9011.291015625,9550.0,9550.0,9375.0,9400.0,73452800
2024-01-30,9105.6494140625,9650.0,9650.0,9475.0,9500.0,73136400
2024-01-31,9011.291015625,9550.0,9700.0,9550.0,9700.0,102581200
2024-02-01,9152.8291015625,9700.0,9725.0,9575.0,9650.0,104208700
2024-02-02,9152.8291015625,9700.0,9800.0,9625.0,9775.0,99324000
2024-02-05,9034.880859375,9575.0,9675.0,9525.0,9675.0,57983300
2024-02-06,9082.060546875,9625.0,9750.0,9625.0,9750.0,87651000
2024-02-07,9152.8291015625,9700.0,9725.0,9650.0,9700.0,92953500
2024-02-12,9247.1884765625,9800.0,9800.0,9700.0,9750.0,87949400
2024-02-13,9176.4189453125,9725.0,9800.0,9700.0,9750.0,66072400
2024-02-15,9294.3681640625,9850.0,9975.0,9850.0,9950.0,164748900
2024-02-16,9388.7275390625,9950.0,10000.0,9875.0,9975.0,142277200
2024-02-19,9317.9580078125,9875.0,9975.0,9825.0,9900.0,53341300
2024-02-20,9459.4970703125,10025.0,10025.0,9850.0,9850.0,63997700
2024-02-21,9412.3173828125,9975.0,10000.0,9850.0,9950.0,75371600
