config,seq_len,arch,lstm_units,dropout,rmse,mape,epochs_ran,time_sec
seq90_Medium_drop0.1,90,Medium,"(128, 64)",0.1,4.6048,1.3418,50,250.8
seq30_Medium_drop0.1,30,Medium,"(128, 64)",0.1,4.871,1.4087,41,84.3
seq90_Small_drop0.1,90,Small,"(64, 32)",0.1,5.0305,1.5091,50,181.1
seq90_Large_drop0.1,90,Large,"(256, 128)",0.1,5.014,1.5122,45,537.9
seq60_Large_drop0.3,60,Large,"(256, 128)",0.3,5.1666,1.5514,50,392.6
seq90_Large_drop0.3,90,Large,"(256, 128)",0.3,5.726,1.6816,42,567.0
seq30_Large_drop0.1,30,Large,"(256, 128)",0.1,5.6155,1.6897,38,165.8
seq90_Large_drop0.2,90,Large,"(256, 128)",0.2,5.7753,1.7221,41,499.9
seq90_Medium_drop0.2,90,Medium,"(128, 64)",0.2,5.7791,1.7675,50,249.0
seq60_Large_drop0.1,60,Large,"(256, 128)",0.1,5.9303,1.7727,28,221.5
seq60_Large_drop0.2,60,Large,"(256, 128)",0.2,5.9383,1.8202,32,254.4
seq60_Medium_drop0.3,60,Medium,"(128, 64)",0.3,6.1947,1.9104,42,146.5
seq30_Large_drop0.2,30,Large,"(256, 128)",0.2,6.4404,1.9641,37,158.1
seq30_Large_drop0.3,30,Large,"(256, 128)",0.3,7.1933,2.051,24,104.0
seq90_Small_drop0.2,90,Small,"(64, 32)",0.2,6.9536,2.0576,50,182.0
seq90_Medium_drop0.3,90,Medium,"(128, 64)",0.3,6.7951,2.0921,50,257.3
seq60_Medium_drop0.1,60,Medium,"(128, 64)",0.1,7.362,2.1418,28,103.0
seq60_Medium_drop0.2,60,Medium,"(128, 64)",0.2,8.5665,2.5305,19,70.7
seq60_Small_drop0.1,60,Small,"(64, 32)",0.1,8.9414,2.6771,34,90.0
seq30_Medium_drop0.2,30,Medium,"(128, 64)",0.2,9.3744,2.7977,17,41.4
seq90_Small_drop0.3,90,Small,"(64, 32)",0.3,9.9146,2.8216,25,97.8
seq60_Small_drop0.2,60,Small,"(64, 32)",0.2,9.9389,2.9391,18,51.2
seq30_Small_drop0.2,30,Small,"(64, 32)",0.2,10.5031,2.965,15,28.0
seq30_Small_drop0.1,30,Small,"(64, 32)",0.1,10.3197,3.1064,13,26.3
seq60_Small_drop0.3,60,Small,"(64, 32)",0.3,11.7329,3.4964,25,70.1
seq30_Medium_drop0.3,30,Medium,"(128, 64)",0.3,13.108,3.7829,12,30.5
seq30_Small_drop0.3,30,Small,"(64, 32)",0.3,14.2145,4.2815,14,28.6
